Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-06-02 19:56:00,67184.01,67218.08,67167.42,67212.01,17.02225,2026-06-02 19:56:59.999,1143695.5714735,2863,10.4735,703663.530143
2026-06-02 19:57:00,67212.0,67223.22,67192.0,67192.01,7.17891,2026-06-02 19:57:59.999,482510.2942298,1779,4.17397,280544.9734572
2026-06-02 19:58:00,67192.01,67232.0,67180.0,67216.23,11.32675,2026-06-02 19:58:59.999,761269.1487935,3178,8.16731,548906.5398688
2026-06-02 19:59:00,67216.22,67316.68,67215.1,67315.14,33.73511,2026-06-02 19:59:59.999,2269732.1886778,7132,19.92639,1340477.6319594
2026-06-02 20:00:00,67315.14,67315.15,67172.0,67172.01,43.11,2026-06-02 20:00:59.999,2897959.7521334,4790,8.86039,595668.6442819
2026-06-02 20:01:00,67172.01,67220.36,67172.0,67198.01,18.81091,2026-06-02 20:01:59.999,1264114.7454986,3901,8.33342,559949.6060547
2026-06-02 20:02:00,67198.0,67198.0,67091.79,67123.82,29.36889,2026-06-02 20:02:59.999,1971237.693906,6178,9.56963,642204.1955292
2026-06-02 20:03:00,67123.82,67270.0,67123.82,67238.29,21.06559,2026-06-02 20:03:59.999,1415738.4705283,8259,14.36229,965192.1521534
2026-06-02 20:04:00,67238.28,67296.0,67222.09,67289.64,21.79171,2026-06-02 20:04:59.999,1465745.5393018,4438,16.75388,1126854.0641749
2026-06-02 20:05:00,67289.64,67390.0,67289.64,67373.73,16.9951,2026-06-02 20:05:59.999,1144494.0572617,5446,12.68289,854026.5865335
2026-06-02 20:06:00,67373.73,67443.54,67348.01,67413.21,47.22278,2026-06-02 20:06:59.999,3183214.3975806,6785,32.76516,2208650.0391368
2026-06-02 20:07:00,67413.22,67426.19,67370.0,67386.01,50.64248,2026-06-02 20:07:59.999,3413381.0111134,6501,38.58489,2600651.5506315
2026-06-02 20:08:00,67386.01,67447.98,67365.48,67447.96,43.81507,2026-06-02 20:08:59.999,2952863.8039131,4711,34.81925,2346668.3859319
2026-06-02 20:09:00,67447.96,67464.87,67434.0,67441.45,52.28663,2026-06-02 20:09:59.999,3526559.994,4270,37.76687,2547285.5580687
2026-06-02 20:10:00,67441.45,67487.5,67424.0,67438.57,61.69147,2026-06-02 20:10:59.999,4161467.4116234,6653,40.9858,2764659.8761999
2026-06-02 20:11:00,67438.56,67464.7,67367.26,67408.82,52.32168,2026-06-02 20:11:59.999,3527244.3230908,6588,35.06053,2363507.7447266
2026-06-02 20:12:00,67408.82,67426.28,67376.0,67384.02,50.73952,2026-06-02 20:12:59.999,3419240.9821456,2797,37.34367,2516452.6513081
2026-06-02 20:13:00,67384.02,67384.02,67366.0,67374.01,43.47538,2026-06-02 20:13:59.999,2929214.6744034,2316,33.77004,2275286.7411018
2026-06-02 20:14:00,67374.01,67381.98,67355.99,67381.97,45.03941,2026-06-02 20:14:59.999,3034005.2004668,3014,34.18395,2302734.0816852
2026-06-02 20:15:00,67381.98,67405.18,67291.92,67317.26,65.02548,2026-06-02 20:15:59.999,4378531.7352094,6757,44.89364,3022873.372842
2026-06-02 20:16:00,67317.26,67325.12,67252.0,67265.49,72.02348,2026-06-02 20:16:59.999,4846137.7301248,5006,38.94056,2620133.9488546
2026-06-02 20:17:00,67265.49,67289.87,67226.55,67249.99,47.50262,2026-06-02 20:17:59.999,3194819.9805414,6316,32.42694,2180831.9181633
2026-06-02 20:18:00,67249.99,67249.99,67119.07,67121.89,38.97834,2026-06-02 20:18:59.999,2618731.3566111,5411,10.68766,718137.96757
2026-06-02 20:19:00,67121.89,67142.0,67094.68,67135.99,12.33374,2026-06-02 20:19:59.999,827861.8937264,5234,7.04175,472634.9694457
2026-06-02 20:20:00,67136.0,67143.4,67050.15,67106.0,25.50023,2026-06-02 20:20:59.999,1710913.0873048,8696,13.17586,884002.1946923
2026-06-02 20:21:00,67106.0,67132.54,67057.59,67057.6,19.2221,2026-06-02 20:21:59.999,1289836.3963178,4448,5.51841,370340.5760038
2026-06-02 20:22:00,67057.6,67057.6,66969.45,66969.45,32.94615,2026-06-02 20:22:59.999,2207264.1299074,8109,11.32467,758646.8349558
2026-06-02 20:23:00,66969.46,67001.81,66962.04,66972.02,18.99156,2026-06-02 20:23:59.999,1272095.5702575,5506,7.99655,535619.1208911
2026-06-02 20:24:00,66972.01,67021.35,66957.24,67019.98,17.38711,2026-06-02 20:24:59.999,1164928.3237185,4010,8.81761,590728.4241167
